Tiempo;Cuaternión X;Cuaternión Y;Cuaternión Z;Cuaternión W
1.07429;0.172934;0.704386;0.420463;-0.542008
1.08446;0.173048;0.704372;0.420472;-0.541983
1.09463;0.17314;0.704382;0.420436;-0.541968
1.1048;0.173247;0.704387;0.420393;-0.541961
1.11496;0.173347;0.704392;0.420355;-0.541953
1.12513;0.173448;0.704397;0.420319;-0.541941
1.1353;0.173549;0.70438;0.420289;-0.541954
1.14547;0.173633;0.704376;0.42022;-0.541986
1.15563;0.173699;0.704362;0.42014;-0.542045
1.1658;0.173751;0.704354;0.420046;-0.542112
1.17597;0.173812;0.704326;0.419939;-0.542211
1.18613;0.17386;0.704305;0.419838;-0.542302
1.1963;0.173955;0.704278;0.419763;-0.542364
1.20647;0.174045;0.704233;0.419719;-0.542428
1.21664;0.174125;0.704189;0.419667;-0.5425
1.2268;0.174201;0.704141;0.419617;-0.542576
1.23697;0.174267;0.704078;0.419595;-0.542653
1.24714;0.17431;0.704015;0.419546;-0.54276
1.25731;0.17436;0.703941;0.419517;-0.542862
1.26748;0.174424;0.703867;0.419497;-0.542953
1.27764;0.174492;0.703802;0.419462;-0.543042
1.28781;0.174567;0.703755;0.419414;-0.543116
1.29798;0.174633;0.703721;0.41936;-0.543181
1.30815;0.1747;0.703699;0.419304;-0.543231
1.31832;0.174763;0.703691;0.419244;-0.543267
1.32848;0.174817;0.703684;0.419182;-0.543307
1.33865;0.17489;0.70368;0.419143;-0.543319
1.34882;0.174988;0.703669;0.419134;-0.543308
1.35899;0.175041;0.703684;0.419129;-0.543276
1.36915;0.175054;0.703724;0.419105;-0.543237
1.37932;0.175035;0.703771;0.419094;-0.543191
1.38949;0.175009;0.70381;0.419048;-0.543185
1.39965;0.175018;0.703811;0.418975;-0.543237
1.40982;0.175078;0.70376;0.41889;-0.543348
1.41999;0.175185;0.703638;0.41884;-0.543512
1.43016;0.175315;0.703488;0.418802;-0.543692
1.44032;0.175387;0.703345;0.418787;-0.543867
1.45049;0.175419;0.703203;0.418835;-0.544003
