Tiempo;Cuaternión X;Cuaternión Y;Cuaternión Z;Cuaternión W
0.00752211;0.468674;0.427711;-0.521474;0.567539
0.0176158;0.468735;0.427703;-0.521454;0.567513
0.0277085;0.468792;0.42769;-0.521435;0.567494
0.0378017;0.46883;0.427682;-0.52142;0.567482
0.0478964;0.468853;0.427689;-0.521386;0.567489
0.0579891;0.468844;0.427721;-0.521321;0.567532
0.0680823;0.46886;0.427745;-0.521264;0.567552
0.0781755;0.46888;0.427754;-0.521206;0.567583
0.0882688;0.468864;0.427777;-0.521158;0.567622
0.098362;0.468844;0.427802;-0.521111;0.567664
0.108455;0.468819;0.427829;-0.521045;0.567724
0.118549;0.468776;0.427869;-0.52097;0.567798
0.128643;0.468704;0.427915;-0.520884;0.567902
0.138736;0.468631;0.42797;-0.520791;0.568006
0.148829;0.468564;0.428042;-0.520697;0.568093
0.158922;0.468519;0.428098;-0.520612;0.568166
0.169015;0.468486;0.428155;-0.52054;0.568216
0.179105;0.468444;0.42821;-0.5205;0.568247
0.189198;0.46842;0.428245;-0.520472;0.568265
0.199292;0.46843;0.42825;-0.520502;0.568226
0.209385;0.468428;0.428238;-0.520556;0.568187
0.219478;0.468442;0.428217;-0.520615;0.568138
0.229571;0.46848;0.42818;-0.520686;0.568069
0.239665;0.468522;0.428138;-0.520768;0.567991
0.249759;0.468529;0.42812;-0.520829;0.567943
0.259852;0.468546;0.428106;-0.520878;0.567894
0.269946;0.468546;0.428102;-0.520923;0.567855
0.280039;0.46853;0.428111;-0.520959;0.567829
0.290132;0.468504;0.42812;-0.521002;0.567804
0.300225;0.468499;0.428126;-0.521069;0.567743
0.310319;0.468492;0.428124;-0.521139;0.567685
0.320412;0.468468;0.428113;-0.521216;0.567643
0.330505;0.468429;0.428098;-0.521308;0.567602
0.340599;0.468398;0.428089;-0.521387;0.567562
0.350692;0.468326;0.42813;-0.52142;0.56756
0.360785;0.468259;0.428166;-0.521454;0.567557
0.370874;0.468174;0.428193;-0.521502;0.567563
0.380968;0.468099;0.428214;-0.521551;0.567564
0.391061;0.468044;0.428233;-0.521602;0.567547
0.401155;0.467995;0.428216;-0.521673;0.567535
0.411248;0.467945;0.428194;-0.521769;0.567505
0.421342;0.467921;0.428157;-0.521878;0.567453
0.431435;0.467908;0.428114;-0.522002;0.567382
0.441528;0.467932;0.428052;-0.522128;0.567293
0.451622;0.46796;0.42796;-0.52227;0.567209
0.461715;0.467984;0.427885;-0.522409;0.567118
0.471808;0.468002;0.427817;-0.522521;0.56705
0.481901;0.467997;0.427745;-0.522621;0.567016
0.491995;0.467984;0.427682;-0.522705;0.566998
0.502088;0.467945;0.42764;-0.52274;0.567029
0.512181;0.46791;0.42761;-0.522777;0.567047
0.542461;0.467765;0.427532;-0.522905;0.567108
0.552555;0.467728;0.427522;-0.522926;0.567126
0.562648;0.467684;0.427524;-0.522946;0.567142
0.572737;0.46764;0.427537;-0.522965;0.56715
0.582831;0.467572;0.427563;-0.52295;0.567201
0.592925;0.467516;0.427585;-0.522943;0.567237
0.603018;0.467476;0.427591;-0.522967;0.567244
0.613111;0.467497;0.427565;-0.522995;0.56722
0.623204;0.467553;0.427529;-0.52302;0.567178
0.633297;0.467626;0.427471;-0.523037;0.567146
0.643391;0.467688;0.427397;-0.523066;0.567124
0.653485;0.467765;0.427313;-0.523092;0.567099
0.663578;0.467833;0.427226;-0.523105;0.567097
0.673671;0.467866;0.427157;-0.523092;0.567134
0.683764;0.467855;0.427114;-0.52305;0.567213
0.693858;0.467807;0.427091;-0.522998;0.567319
0.703951;0.467727;0.427073;-0.52294;0.567453
0.714045;0.467676;0.427052;-0.522879;0.567566
0.724138;0.467632;0.427033;-0.522832;0.567659
0.734231;0.467597;0.427014;-0.522774;0.567757
0.744325;0.467589;0.427015;-0.522706;0.567825
0.754418;0.467549;0.427051;-0.522642;0.56789
0.764511;0.467516;0.427081;-0.522569;0.567962
0.7746;0.467477;0.4271;-0.522504;0.568039
0.784694;0.467443;0.427099;-0.522438;0.568128
0.794787;0.467474;0.42706;-0.522409;0.568158
0.804881;0.467532;0.426991;-0.522413;0.568159
