Tiempo;Cuaternión X;Cuaternión Y;Cuaternión Z;Cuaternión W
0.991062;-0.0627661;0.741726;0.103964;-0.657056
1.00112;-0.0626853;0.741724;0.103978;-0.657063
1.01118;-0.0625706;0.74172;0.103971;-0.65708
1.02124;-0.0624672;0.7417;0.103985;-0.65711
1.03129;-0.0624259;0.741663;0.103966;-0.657158
1.04135;-0.0624062;0.741616;0.103909;-0.657223
1.05141;-0.062386;0.741553;0.103873;-0.657301
1.06147;-0.0623784;0.741485;0.103797;-0.657391
1.07153;-0.0623805;0.741415;0.103698;-0.657486
1.08158;-0.062375;0.741339;0.103618;-0.657584
1.09164;-0.0623785;0.741265;0.103542;-0.657679
1.1017;-0.0623991;0.741192;0.103451;-0.657774
1.11176;-0.0624288;0.741109;0.10335;-0.657881
1.12181;-0.0624658;0.741034;0.103222;-0.657982
1.13187;-0.0624474;0.740969;0.103142;-0.658069
1.14193;-0.0624259;0.740913;0.103073;-0.658145
1.15199;-0.0623989;0.740857;0.103033;-0.658217
1.16205;-0.0623662;0.740795;0.102997;-0.658295
1.1721;-0.0623324;0.740729;0.102986;-0.658374
1.18216;-0.0622947;0.740676;0.102944;-0.658444
1.19222;-0.0622567;0.740612;0.102915;-0.658525
1.20228;-0.0622091;0.740561;0.102909;-0.658587
1.21234;-0.0621486;0.740512;0.102902;-0.658649
1.22239;-0.0620929;0.740476;0.102911;-0.658693
1.23245;-0.062063;0.740442;0.102892;-0.658737
1.24251;-0.0620351;0.740413;0.102866;-0.658776
1.25257;-0.0620064;0.740394;0.102842;-0.658804
1.26263;-0.0619878;0.740378;0.102832;-0.658826
1.27268;-0.0619801;0.74036;0.102805;-0.658851
1.28274;-0.0619709;0.740352;0.102792;-0.658863
1.2928;-0.0619576;0.740345;0.102766;-0.658876
1.30286;-0.0619409;0.740346;0.10277;-0.658876
1.31292;-0.0619129;0.740339;0.102785;-0.658884
1.32297;-0.0618609;0.740337;0.10281;-0.658887
1.33303;-0.0617636;0.740335;0.102888;-0.658887
1.34309;-0.0616642;0.74034;0.102969;-0.658877
1.35314;-0.0615807;0.740358;0.103017;-0.658857
1.3632;-0.0614813;0.740376;0.103045;-0.658842
1.37326;-0.0613794;0.740391;0.103084;-0.658828
1.38332;-0.0612357;0.740394;0.10315;-0.658829
1.39338;-0.0610576;0.740389;0.103291;-0.658829
1.40343;-0.0608364;0.740371;0.103489;-0.658838
1.41349;-0.0605996;0.740345;0.103719;-0.658852
1.42355;-0.0604049;0.740315;0.103886;-0.658878
1.43361;-0.0602642;0.740283;0.103956;-0.658916
1.44367;-0.0601716;0.74026;0.103983;-0.658946
1.45372;-0.0601255;0.740246;0.103939;-0.658973
1.46378;-0.0601397;0.740231;0.103885;-0.658997
1.47384;-0.0601755;0.740227;0.103847;-0.659004
1.4839;-0.0602037;0.740234;0.103802;-0.659001
1.49396;-0.0602252;0.74024;0.10378;-0.658996
1.50402;-0.0602313;0.740238;0.103747;-0.659003
1.51407;-0.0602146;0.740242;0.1037;-0.659007
1.52413;-0.0601941;0.740249;0.103627;-0.659012
1.53419;-0.0601843;0.740254;0.103533;-0.659023
1.54424;-0.0601827;0.740262;0.103421;-0.659031
1.5543;-0.060159;0.740267;0.103326;-0.659043
1.56436;-0.0601229;0.740276;0.103239;-0.659049
1.57442;-0.0600644;0.740277;0.103195;-0.65906
1.58448;-0.0599822;0.740271;0.103165;-0.659079
1.59453;-0.0598894;0.74026;0.103167;-0.659099
1.60459;-0.0597978;0.740247;0.103152;-0.659125
1.61465;-0.0597351;0.740234;0.103132;-0.659149
1.62471;-0.0596427;0.740223;0.10312;-0.659171
1.63477;-0.0595332;0.740221;0.103128;-0.659182
1.64482;-0.0594286;0.740221;0.103153;-0.659187
1.65488;-0.0593495;0.740234;0.103172;-0.659178
1.66494;-0.0593025;0.740257;0.103162;-0.659158
1.675;-0.0593271;0.740288;0.103067;-0.659135
1.68506;-0.0593866;0.740321;0.102961;-0.659109
1.69511;-0.0594498;0.740358;0.10284;-0.659081
1.70517;-0.0595129;0.74039;0.102708;-0.65906
1.71523;-0.0595716;0.740422;0.102587;-0.659037
1.72528;-0.0595789;0.740446;0.102524;-0.65902
1.73534;-0.0595492;0.740454;0.102484;-0.65902
1.7454;-0.0594829;0.740456;0.102483;-0.659023
1.75546;-0.0593914;0.740455;0.1025;-0.65903
1.76552;-0.0592885;0.740447;0.102512;-0.659046
1.77557;-0.0591923;0.740434;0.102508;-0.65907
1.78563;-0.0590909;0.740424;0.102493;-0.659093
1.79569;-0.0590104;0.740401;0.102482;-0.659128
1.80575;-0.0589325;0.740386;0.102435;-0.659159
1.81581;-0.0588666;0.740361;0.102393;-0.6592
1.82586;-0.0587728;0.740338;0.102388;-0.659234
1.83592;-0.0586871;0.740322;0.102364;-0.659264
1.84598;-0.0586119;0.740304;0.102347;-0.659293
1.85604;-0.0585407;0.740285;0.102324;-0.659325
1.8661;-0.0584724;0.740262;0.102302;-0.65936
1.87615;-0.058374;0.740243;0.102297;-0.659391
1.88621;-0.0582786;0.740225;0.102296;-0.659419
1.89627;-0.0581987;0.740206;0.102287;-0.659449
1.90633;-0.0581127;0.740185;0.102304;-0.659478
1.91638;-0.0580531;0.740172;0.102298;-0.659499
1.92644;-0.058038;0.740157;0.102257;-0.659523
1.9365;-0.0580289;0.740139;0.102226;-0.659548
1.94656;-0.0580149;0.740128;0.102176;-0.65957
1.95662;-0.0580061;0.740122;0.102143;-0.659583
1.96667;-0.0580018;0.740116;0.102112;-0.659595
1.97673;-0.0579839;0.740106;0.102081;-0.659612
1.98679;-0.0579738;0.740092;0.102077;-0.659629
1.99685;-0.0579506;0.740083;0.102077;-0.659642
2.00691;-0.0579032;0.740073;0.102066;-0.659659
2.01696;-0.0578303;0.740058;0.102116;-0.659673
2.02702;-0.0576767;0.740061;0.102229;-0.659667
2.03708;-0.0575175;0.740054;0.102339;-0.659671
2.04714;-0.0573542;0.740053;0.10244;-0.659671
2.0572;-0.0571921;0.740049;0.10255;-0.659672
