Tiempo;Cuaternión X;Cuaternión Y;Cuaternión Z;Cuaternión W
0.00523138;0.365517;0.527568;0.605239;-0.467314
0.0153751;0.365492;0.5275;0.605375;-0.467234
0.0255194;0.365456;0.527451;0.605501;-0.467156
0.0356636;0.365363;0.527439;0.605586;-0.467131
0.0458078;0.365257;0.527451;0.605651;-0.467116
0.0559516;0.365147;0.527487;0.60569;-0.46711
0.0660954;0.365035;0.527524;0.605721;-0.467117
0.0762391;0.364932;0.527574;0.605725;-0.467136
0.0863838;0.364864;0.527608;0.605749;-0.467119
0.0965276;0.364811;0.527623;0.605793;-0.467086
0.106672;0.364762;0.527639;0.605816;-0.467077
0.116816;0.364728;0.527668;0.605809;-0.46708
0.12696;0.364692;0.527719;0.605786;-0.46708
0.137104;0.364616;0.527819;0.605701;-0.467136
0.147248;0.364572;0.527912;0.605628;-0.46716
0.157392;0.36456;0.527996;0.60556;-0.467163
0.167536;0.364572;0.528048;0.605526;-0.467139
0.177681;0.364619;0.528083;0.605518;-0.467073
0.18782;0.364723;0.528056;0.605566;-0.46696
0.197964;0.364833;0.528007;0.605636;-0.466839
0.208108;0.364952;0.527931;0.605722;-0.466721
0.218253;0.365068;0.527855;0.605805;-0.466607
0.228396;0.365163;0.527758;0.605903;-0.466516
0.23854;0.365229;0.527699;0.605955;-0.466464
0.248684;0.365286;0.527652;0.606;-0.466413
0.258829;0.365345;0.527603;0.606049;-0.466359
0.268973;0.365414;0.527538;0.606107;-0.466304
0.279117;0.365524;0.527444;0.606181;-0.466226
0.28926;0.365662;0.527319;0.606276;-0.466136
0.299404;0.365795;0.527215;0.606351;-0.466052
0.309549;0.365917;0.527138;0.606406;-0.465972
0.319693;0.366038;0.527079;0.606431;-0.46591
0.329837;0.366196;0.526991;0.606478;-0.465824
0.339981;0.366344;0.52693;0.606515;-0.46573
0.350125;0.3665;0.526868;0.60654;-0.465645
0.360269;0.366653;0.526817;0.606561;-0.465555
0.370413;0.366816;0.526751;0.606604;-0.465444
0.380557;0.36695;0.5267;0.606623;-0.465372
0.390697;0.367077;0.526659;0.606631;-0.465307
0.400841;0.367214;0.526586;0.606671;-0.46523
0.410986;0.367359;0.526505;0.606698;-0.465172
0.421129;0.367496;0.526428;0.606739;-0.465098
0.431273;0.367625;0.526354;0.606778;-0.465029
0.441418;0.367754;0.526304;0.606801;-0.464954
0.451561;0.367877;0.526265;0.606816;-0.46488
0.461705;0.368009;0.526224;0.606826;-0.464809
0.471849;0.368146;0.526182;0.60684;-0.464731
0.481993;0.368288;0.52614;0.606855;-0.464645
0.492138;0.368418;0.526129;0.606852;-0.46456
0.502281;0.368545;0.526131;0.606828;-0.464488
0.512425;0.368658;0.526137;0.606816;-0.464406
0.542858;0.369023;0.526087;0.606854;-0.464122
0.553002;0.36916;0.526054;0.606882;-0.464016
0.563146;0.369303;0.525994;0.606943;-0.46389
0.573289;0.369424;0.525926;0.607034;-0.463751
0.58343;0.369537;0.525849;0.607131;-0.463622
0.593574;0.369656;0.525779;0.607213;-0.463499
0.603717;0.369757;0.525699;0.607318;-0.463371
0.613862;0.36986;0.525643;0.607403;-0.463242
0.624006;0.369971;0.525579;0.607514;-0.46308
0.634151;0.370066;0.525542;0.607623;-0.462903
0.644294;0.370155;0.525495;0.607729;-0.462746
0.654438;0.370224;0.525452;0.607836;-0.462598
0.664582;0.370269;0.525423;0.607918;-0.462488
0.674726;0.370299;0.525429;0.607991;-0.462361
0.68487;0.370309;0.525445;0.608048;-0.462259
0.695014;0.370293;0.525465;0.608112;-0.462166
0.705158;0.370261;0.525486;0.608172;-0.462088
0.715303;0.370215;0.525514;0.608226;-0.462023
0.725447;0.370121;0.525574;0.608225;-0.462031
0.73559;0.370017;0.525641;0.608216;-0.46205
0.745735;0.369922;0.52572;0.608191;-0.46207
0.755879;0.369832;0.525803;0.608159;-0.462089
0.766023;0.369743;0.525889;0.608146;-0.46208
0.776167;0.369701;0.52596;0.608171;-0.461999
0.786307;0.369688;0.52601;0.608212;-0.461898
0.796451;0.369672;0.526047;0.608286;-0.461772
0.806595;0.369669;0.526044;0.608392;-0.461638
0.81674;0.369663;0.52604;0.608472;-0.461542
0.826883;0.369626;0.526052;0.608527;-0.461485
0.837027;0.369591;0.526057;0.608583;-0.461433
0.847171;0.369554;0.526045;0.608661;-0.461373
0.857316;0.369527;0.526031;0.608726;-0.461326
0.867459;0.3695;0.526053;0.608755;-0.461284
0.877603;0.36948;0.526083;0.608777;-0.461236
0.887747;0.369492;0.526122;0.60878;-0.461179
0.897892;0.369518;0.526147;0.60878;-0.461129
0.908036;0.369567;0.526169;0.608767;-0.461083
0.91818;0.369628;0.5262;0.608755;-0.461014
0.928323;0.369714;0.526237;0.608718;-0.460952
0.938468;0.3698;0.526282;0.608675;-0.460888
0.948612;0.369894;0.526328;0.608625;-0.460825
0.958755;0.369978;0.526386;0.608556;-0.460784
0.9689;0.370099;0.526415;0.608516;-0.460707
0.979043;0.370233;0.526438;0.608472;-0.46063
0.989184;0.370371;0.526438;0.608459;-0.460537
0.999328;0.370525;0.526418;0.608469;-0.460423
1.00947;0.3707;0.526362;0.608508;-0.460294
1.01962;0.370908;0.526292;0.608563;-0.460134
1.02976;0.371113;0.526203;0.608636;-0.459975
1.0399;0.371321;0.526089;0.608727;-0.459815
1.05005;0.371522;0.525975;0.608817;-0.459664
1.06019;0.371715;0.525867;0.60889;-0.459536
1.07034;0.37186;0.525787;0.608933;-0.459452
1.08048;0.372002;0.525709;0.608968;-0.45938
1.09062;0.37214;0.525619;0.609007;-0.459319
1.10077;0.372266;0.525559;0.609015;-0.459276
1.11091;0.372389;0.525494;0.609028;-0.459233
1.12106;0.372508;0.525412;0.609053;-0.459196
1.1312;0.372639;0.525339;0.609054;-0.459173
1.14134;0.372766;0.525255;0.60906;-0.459157
1.15149;0.372873;0.525195;0.609055;-0.459146
1.16163;0.372989;0.525146;0.609048;-0.459117
1.17178;0.373106;0.525078;0.609058;-0.459087
1.18192;0.373221;0.525041;0.609043;-0.459056
1.19206;0.373332;0.524993;0.60904;-0.459024
1.2022;0.37344;0.52495;0.609044;-0.458979
1.21235;0.373536;0.524891;0.60906;-0.458949
1.22249;0.373611;0.524841;0.609077;-0.458922
1.23264;0.373683;0.524794;0.60909;-0.458901
1.24278;0.373747;0.524734;0.609112;-0.458887
1.25292;0.373813;0.524658;0.609153;-0.458866
1.26307;0.373819;0.524638;0.609133;-0.45891
1.27321;0.373821;0.52462;0.609105;-0.458968
1.28336;0.373822;0.524622;0.609048;-0.45904
1.2935;0.373796;0.52466;0.608974;-0.459115
1.30365;0.373764;0.524699;0.608906;-0.459186
1.31379;0.373783;0.524694;0.608889;-0.459199
1.32393;0.373801;0.5247;0.608858;-0.45922
1.33408;0.373827;0.524699;0.608818;-0.459252
1.34422;0.373858;0.524684;0.608797;-0.459272
1.35437;0.373896;0.524676;0.608783;-0.459269
1.36451;0.37392;0.524671;0.608763;-0.459282
1.37465;0.373948;0.524645;0.60876;-0.459292
1.38479;0.373981;0.524629;0.608744;-0.459304
1.39494;0.374014;0.524625;0.608717;-0.459319
1.40508;0.374053;0.524641;0.608685;-0.459311
1.41523;0.37408;0.524644;0.608687;-0.459283
1.42537;0.374112;0.524642;0.608686;-0.45926
1.43551;0.374138;0.524647;0.608676;-0.459248
1.44566;0.37415;0.524649;0.608664;-0.45925
1.4558;0.374161;0.524671;0.608643;-0.459244
1.46595;0.374165;0.524712;0.608606;-0.459243
1.47609;0.374142;0.524795;0.608543;-0.459252
1.48623;0.374096;0.524898;0.608458;-0.459283
1.49638;0.374046;0.524983;0.608391;-0.459315
1.50652;0.374023;0.525053;0.608335;-0.459328
1.51667;0.374019;0.525118;0.608275;-0.459336
1.52681;0.374031;0.52515;0.608232;-0.459346
1.53695;0.374064;0.525188;0.608184;-0.459341
1.5471;0.374108;0.525231;0.608138;-0.459316
1.55724;0.374124;0.525291;0.608068;-0.459328
1.56739;0.374145;0.525374;0.607994;-0.459314
1.57753;0.374174;0.525442;0.607946;-0.459274
1.58767;0.37423;0.525492;0.607908;-0.459222
1.59781;0.374302;0.525527;0.60789;-0.459147
1.60796;0.374392;0.525521;0.60791;-0.459056
1.6181;0.374471;0.525489;0.607957;-0.458965
1.62825;0.374574;0.525429;0.608011;-0.458878
1.63839;0.374674;0.525379;0.608053;-0.458797
1.64853;0.374766;0.525348;0.608081;-0.458722
1.65868;0.37484;0.525333;0.608089;-0.458667
