Tiempo;Cuaternión X;Cuaternión Y;Cuaternión Z;Cuaternión W
0.990678;0.646052;-0.328521;-0.64917;-0.223376
1.00077;0.646084;-0.328463;-0.649204;-0.223268
1.01086;0.646091;-0.328429;-0.649242;-0.223188
1.02095;0.646082;-0.328436;-0.649262;-0.223147
1.03103;0.646061;-0.328448;-0.64929;-0.223108
1.04112;0.64605;-0.328452;-0.649305;-0.223088
1.05121;0.646046;-0.328445;-0.649313;-0.223089
1.0613;0.646039;-0.328458;-0.649315;-0.223084
1.07139;0.646032;-0.328484;-0.649314;-0.223071
1.08148;0.646019;-0.328503;-0.649329;-0.223033
1.09157;0.646002;-0.328528;-0.649347;-0.222994
1.10166;0.645982;-0.328543;-0.64937;-0.222965
1.11175;0.64595;-0.328566;-0.6494;-0.222937
1.12183;0.64593;-0.328591;-0.649419;-0.2229
1.13192;0.6459;-0.328614;-0.649449;-0.222868
1.14201;0.645868;-0.328653;-0.649479;-0.222817
1.1521;0.645849;-0.328684;-0.649497;-0.222769
1.16219;0.64583;-0.328725;-0.649506;-0.222741
1.17228;0.64581;-0.328772;-0.649512;-0.222712
1.18237;0.645782;-0.328821;-0.649521;-0.222693
1.19246;0.64576;-0.328871;-0.649526;-0.22267
1.20255;0.645743;-0.328927;-0.649525;-0.222637
1.21263;0.645718;-0.328987;-0.649529;-0.22261
1.22272;0.64569;-0.329036;-0.649535;-0.222603
1.23281;0.645659;-0.329085;-0.649546;-0.222586
1.2429;0.645625;-0.329139;-0.649561;-0.222562
1.25299;0.6456;-0.329179;-0.649582;-0.222515
1.26308;0.645584;-0.329194;-0.649604;-0.222477
1.27317;0.645574;-0.329211;-0.649625;-0.222416
1.28326;0.645563;-0.329232;-0.649643;-0.222365
1.29335;0.645539;-0.329256;-0.649672;-0.222315
1.30343;0.645532;-0.329281;-0.649688;-0.222252
1.31352;0.645523;-0.329298;-0.649706;-0.222198
1.32361;0.645517;-0.329317;-0.649726;-0.222131
1.3337;0.645516;-0.329333;-0.649741;-0.222066
1.34379;0.645519;-0.329343;-0.649751;-0.222012
1.35388;0.645526;-0.329346;-0.649769;-0.221934
1.36397;0.645546;-0.329318;-0.649805;-0.221814
1.37406;0.64558;-0.329283;-0.649837;-0.221672
1.38415;0.645608;-0.329252;-0.649879;-0.221514
1.39424;0.64564;-0.329241;-0.649906;-0.221357
1.40432;0.645663;-0.329205;-0.649949;-0.221217
1.41441;0.645703;-0.329128;-0.650006;-0.22105
1.4245;0.645722;-0.329068;-0.650066;-0.220903
1.43459;0.645741;-0.329027;-0.650119;-0.220756
1.44468;0.645751;-0.328999;-0.650168;-0.220622
1.45477;0.645746;-0.329016;-0.650199;-0.220518
1.46486;0.645666;-0.329179;-0.650186;-0.220551
1.47495;0.6456;-0.329351;-0.65016;-0.220562
1.48504;0.645535;-0.329522;-0.650122;-0.220612
1.49513;0.645482;-0.329685;-0.650085;-0.220631
1.50521;0.645439;-0.329811;-0.650054;-0.220658
1.5153;0.64543;-0.32988;-0.650036;-0.220637
1.52539;0.645403;-0.329939;-0.650035;-0.22063
1.53548;0.645368;-0.32999;-0.650045;-0.220626
1.54557;0.645346;-0.330037;-0.650045;-0.220622
1.55566;0.6453;-0.330111;-0.650039;-0.220661
1.56575;0.645257;-0.330214;-0.650014;-0.220706
1.57584;0.645216;-0.330321;-0.649991;-0.220733
1.58593;0.64518;-0.330437;-0.649965;-0.22074
1.59601;0.645156;-0.330523;-0.649935;-0.220773
1.6061;0.645159;-0.330568;-0.649917;-0.220749
1.61619;0.645185;-0.330563;-0.649919;-0.220675
1.62628;0.645211;-0.330554;-0.649917;-0.220618
1.63637;0.645226;-0.330562;-0.649917;-0.220564
1.64646;0.645251;-0.330561;-0.649917;-0.220491
1.65655;0.645274;-0.33054;-0.649931;-0.220415
1.66664;0.645289;-0.330513;-0.649958;-0.220329
1.67673;0.645305;-0.330494;-0.649981;-0.220244
1.68682;0.64531;-0.330489;-0.650013;-0.220145
1.6969;0.645309;-0.330496;-0.650045;-0.22004
1.70699;0.645326;-0.330488;-0.650079;-0.219903
1.71708;0.645347;-0.330482;-0.650105;-0.219774
1.72717;0.645371;-0.330472;-0.650137;-0.219624
1.73726;0.645396;-0.330454;-0.650171;-0.219476
1.74735;0.645441;-0.330425;-0.650202;-0.219293
1.75744;0.64541;-0.330525;-0.650188;-0.21928
1.76753;0.645368;-0.330666;-0.650155;-0.219285
1.77762;0.645322;-0.330797;-0.650132;-0.219292
1.7877;0.645261;-0.33091;-0.650121;-0.219334
1.79779;0.6452;-0.33103;-0.650108;-0.219369
1.80788;0.645176;-0.331072;-0.650121;-0.21934
1.81797;0.645151;-0.331117;-0.650134;-0.219305
1.82806;0.645128;-0.331164;-0.650142;-0.219278
1.83815;0.645109;-0.331218;-0.650147;-0.219239
1.84824;0.645088;-0.331268;-0.650152;-0.21921
1.85833;0.645085;-0.331303;-0.650143;-0.219193
1.86842;0.645069;-0.331344;-0.650142;-0.219181
1.87851;0.645059;-0.331393;-0.650137;-0.219151
1.88859;0.645045;-0.33144;-0.650137;-0.219119
1.89868;0.64504;-0.33149;-0.650136;-0.219064
1.90877;0.645035;-0.33151;-0.650145;-0.219021
1.91886;0.645033;-0.331541;-0.650147;-0.218975
1.92895;0.645033;-0.331558;-0.650144;-0.218959
1.93904;0.645028;-0.33158;-0.65014;-0.218952
1.94913;0.645024;-0.331608;-0.650131;-0.218946
1.95922;0.645025;-0.331626;-0.650121;-0.218945
1.96931;0.645029;-0.331647;-0.650108;-0.21894
1.97939;0.645035;-0.331674;-0.650094;-0.218923
1.98948;0.645031;-0.331695;-0.650097;-0.218896
1.99957;0.645032;-0.331721;-0.650089;-0.218875
2.00966;0.645028;-0.331763;-0.650082;-0.218844
2.01975;0.64502;-0.331806;-0.650075;-0.218826
2.02984;0.645017;-0.33185;-0.650063;-0.218802
2.03993;0.645012;-0.33189;-0.650053;-0.218787
2.05002;0.644996;-0.331946;-0.650024;-0.218834
2.06011;0.644963;-0.332046;-0.649992;-0.218874
2.07019;0.644925;-0.332138;-0.649971;-0.218909
2.08028;0.644895;-0.332226;-0.649942;-0.218949
2.09037;0.644844;-0.332315;-0.64993;-0.219002
2.10046;0.64478;-0.332434;-0.649912;-0.219063
2.11055;0.644708;-0.332573;-0.649886;-0.219142
2.12064;0.644648;-0.332711;-0.649848;-0.219222
2.13073;0.644588;-0.332846;-0.649816;-0.219286
2.14082;0.644549;-0.332951;-0.649778;-0.219355
2.15091;0.644534;-0.333;-0.649758;-0.219382
2.161;0.644527;-0.333025;-0.649752;-0.219385
2.17108;0.644526;-0.333053;-0.649745;-0.219367
2.18117;0.644513;-0.33308;-0.649746;-0.219359
2.19126;0.644507;-0.333096;-0.649751;-0.219337
2.20135;0.644501;-0.333121;-0.649745;-0.219334
2.21144;0.6445;-0.333137;-0.64974;-0.219328
2.22153;0.64448;-0.333174;-0.649746;-0.219314
2.23162;0.644437;-0.333223;-0.649757;-0.219334
2.24171;0.644389;-0.33329;-0.649757;-0.21937
2.2518;0.644356;-0.333355;-0.649746;-0.219403
2.26189;0.644327;-0.333416;-0.649732;-0.219435
2.27197;0.644303;-0.333478;-0.649708;-0.219485
2.28206;0.644287;-0.333542;-0.649673;-0.219537
2.29215;0.644269;-0.333608;-0.649635;-0.219599
2.30224;0.644321;-0.333578;-0.649614;-0.219557
2.31233;0.644366;-0.333533;-0.649604;-0.219524
2.32242;0.64441;-0.333484;-0.649596;-0.219494
2.33251;0.644456;-0.33343;-0.649593;-0.219449
2.3426;0.644475;-0.333396;-0.649601;-0.219421
2.35269;0.644459;-0.333442;-0.649581;-0.219457
2.36278;0.644437;-0.333499;-0.649559;-0.219499
2.37286;0.644422;-0.333543;-0.649542;-0.219526
2.38295;0.644413;-0.333581;-0.649512;-0.219584
2.39304;0.644416;-0.333601;-0.64949;-0.219613
2.40313;0.644456;-0.333553;-0.649486;-0.219579
2.41322;0.644515;-0.333491;-0.649477;-0.219527
2.42331;0.644565;-0.333432;-0.649468;-0.219496
2.4334;0.644609;-0.333381;-0.649457;-0.219476
2.44349;0.644654;-0.333341;-0.649447;-0.219434
2.45358;0.64468;-0.333316;-0.64944;-0.219415
2.46366;0.644699;-0.33329;-0.649433;-0.21942
2.47375;0.644722;-0.333266;-0.649428;-0.219406
2.48384;0.644742;-0.333224;-0.649433;-0.219392
2.49393;0.644778;-0.333155;-0.649445;-0.219359
2.50402;0.644808;-0.333084;-0.649455;-0.219347
2.51411;0.644833;-0.333029;-0.649463;-0.219334
2.5242;0.644861;-0.332993;-0.649459;-0.21932
2.53429;0.644891;-0.332954;-0.649452;-0.21931
2.54438;0.644927;-0.332915;-0.64944;-0.2193
2.55446;0.644979;-0.332855;-0.649422;-0.219292
